"","country","year","onset","instab","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","polity2l","ethfrac","relfrac"
"1","USA",1945,0,0,0,7.62599992752075,11.8562955856323,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"2","USA",1946,0,0,0,7.62599992752075,11.8562955856323,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"3","USA",1947,0,0,0,7.65399980545044,11.8631315231323,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"4","USA",1948,0,0,0,8.02499961853027,11.8685913085938,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"5","USA",1949,0,0,0,8.27000045776367,11.8867349624634,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"6","USA",1950,0,0,0,8.03999996185303,11.9048795700073,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"7","USA",1951,0,0,0,8.77200031280518,11.9334306716919,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"8","USA",1952,0,0,0,9.10900020599365,11.9511804580688,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"9","USA",1953,0,0,0,9.07400035858154,11.9686212539673,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"10","USA",1954,0,0,0,9.30000019073486,11.9858932495117,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"11","USA",1955,0,0,0,9.08899974822998,12.0027437210083,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"12","USA",1956,0,0,0,9.7229995727539,12.0193157196045,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"13","USA",1957,0,0,0,9.71199989318848,12.0369558334351,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"14","USA",1958,0,0,0,9.64299964904785,12.0542898178101,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"15","USA",1959,0,0,0,9.36999988555908,12.0712089538574,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"16","USA",1960,0,0,0,9.83899974822998,12.0879650115967,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"17","USA",1961,0,0,0,9.89500045776367,12.1044445037842,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"18","USA",1962,0,0,0,9.94600009918213,12.1209888458252,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"19","USA",1963,0,0,0,10.3579998016357,12.1363849639893,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"20","USA",1964,0,0,0,10.6420001983643,12.1507921218872,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"21","USA",1965,0,0,0,11.0719995498657,12.1646718978882,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"22","USA",1966,0,0,0,11.6490001678467,12.1772050857544,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"23","USA",1967,0,0,0,12.1639995574951,12.1887435913086,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"24","USA",1968,0,0,0,12.3179998397827,12.1996374130249,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"25","USA",1969,0,0,0,12.7229995727539,12.2095966339111,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"26","USA",1970,0,0,0,12.9750003814697,12.2193593978882,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"27","USA",1971,0,0,0,12.9630002975464,12.2310190200806,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"28","USA",1972,0,0,0,13.2329998016357,12.2436618804932,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"29","USA",1973,0,0,0,13.7469997406006,12.2543678283691,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"30","USA",1974,0,0,0,14.378999710083,12.2639122009277,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"31","USA",1975,0,0,0,14.0780000686646,12.2730484008789,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"32","USA",1976,0,0,0,13.6820001602173,12.2829084396362,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"33","USA",1977,0,0,0,14.2709999084473,12.2924108505249,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"34","USA",1978,0,0,0,14.8319997787476,12.3024682998657,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"35","USA",1979,0,0,0,15.4399995803833,12.3130645751953,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"36","USA",1980,0,0,0,15.6370000839233,12.3241004943848,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"37","USA",1981,0,0,0,15.2950000762939,12.3360347747803,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"38","USA",1982,0,0,0,15.5019998550415,12.3464345932007,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"39","USA",1983,0,0,0,14.8970003128052,12.3567314147949,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
"40","USA",1984,0,0,0,15.2899999618530,12.3664846420288,3.21486783027649,1,0,0,10,0.356950104236603,0.595999956130981
